Lambda1,Lambda2,Lambda3
-0.740325737904152,-0.6734424780865927,1.9652501306797485
-0.7223872892537826,-0.6549104199972768,1.9698286447410236
-0.7009929104240018,-0.6335705764382057,1.9787962599566733
-0.6763478863873176,-0.6095962123527894,1.9921587841898816
-0.6487205175329752,-0.5832117841048936,2.0099112413338727
-0.6184431271800656,-0.5546948685788855,2.0320428375738393
-0.5859099133534804,-0.5243752569522394,2.05853915177573
-0.5515711645004346,-0.4926307270468135,2.0893809178176843
-0.5159235859420137,-0.45987925020100867,2.1245389412065494
-0.4794968084403559,-0.4265677139027031,2.163965025325335
-0.4428365577670507,-0.3931576261573931,2.2075792516022172
-0.4064854125969825,-0.3601086666322028,2.2552544997554587
-0.37096249595820857,-0.3278612983822133,2.3067996087880682
-0.33674374150026387,-0.29681987886702227,2.3619429466482944
-0.3042444619795242,-0.2673377468194309,2.4203182675438
-0.27380577036068715,-0.23970558218183471,2.481454528787505
-0.24568597216728463,-0.2141439589558804,2.5447708261583486
-0.22005743847364376,-0.19080050450647254,2.609576881604107
-0.19700880874514073,-0.16975154449996585,2.6750787385257557
-0.1765517971417983,-0.1510076525160322,2.7403886907106245
-0.15863148669264374,-0.13452221143582857,2.8045382486537136
-0.14313883462779875,-0.12020195880704743,2.8664935343184337
-0.12992415970158436,-0.10791851498468309,2.925174623676493
-0.1188105776574541,-0.09752003557501943,2.9794851206886865
