Lambda1,Lambda2,Lambda3,Lambda4,Lambda5,Lambda6
-0.1676923610303439,-0.15990143293725825,2.7343097244493006,2.774415696970696,3.038639481731635,3.0865363823461167
-0.14959251456196096,-0.1435866464868379,2.79844535770745,2.8350949134345065,3.0733773658561856,3.1160327896583677
-0.13393316951070167,-0.1294257963748739,2.860496744485648,2.893131288652522,3.1074551329877367,3.14459705029044
-0.12056636370520873,-0.11728868647281472,2.9194165993158347,2.9474916772524593,3.140703692518754,3.1720564476877726
-0.10931632101537586,-0.10702222461012639,2.974146106522783,2.997200298128733,3.1729344117148033,3.1982826997260037
-0.09999219083026865,-0.09846143753429841,3.023659389917703,3.0414347888542315,3.203865640651436,3.2231717928839365
-0.09239948031173496,-0.09143951119140883,3.067038383519035,3.0796341744898,3.233035567136346,3.2465913272274385
-0.0863499173809741,-0.08579661395179101,3.1035834471798966,3.1115630864388897,3.2597566865491814,3.2682896292373584
-0.08166966670810503,-0.08138740457413808,3.13292949591125,3.137276922877649,3.283166971089376,3.287796660189742
-0.07820594273163022,-0.07808722504986411,3.155092912739525,3.156997081215596,3.302368495353296,3.3043913815111368
-0.07583213066870095,-0.07579703532894044,3.1703914646220115,3.1709668201381382,3.3165829194913194,3.317193370347205
-0.07445155120024202,-0.07444717048674401,3.1792744922735925,3.1793470267841695,3.3252645526779743,3.3253414679020468
-0.07400000000000007,-0.07400000000000007,3.1821614502078113,3.1821614502078113,3.3281614502078107,3.3281614502078107
-0.07445155120024202,-0.07444717048674401,3.1792744922735925,3.1793470267841695,3.3252645526779743,3.3253414679020468
-0.5938553098272651,-0.5838575250800067,2.489037751605805,2.5106708445477675,2.9786242352419,2.9902595434366033
-0.5850818127148507,-0.5700513835655612,2.4741451025293393,2.504904277841959,2.9833592879782533,2.999088034141583
-0.5723032705534291,-0.5522050555033436,2.457233915101486,2.4954582098783655,2.990817410661926,3.0089434903887176
-0.555990470698568,-0.5307862503106842,2.4393783409390557,2.4832755537360183,3.0004774470752724,3.019170439484351
-0.5367099406123086,-0.5063651383993092,2.421586756346446,2.4693636788307294,3.0118343355568444,3.0292664558281297
-0.5150967603182116,-0.47958783331015603,2.4047382118758938,2.454653787486034,3.0245117202571414,3.0389183688592296
