Alpha,Energy
0.22,2.0857189290891602
0.22,2.095451050246342
0.22,2.100520842493843
0.22,2.1049061401440046
0.22,2.1103607438018273
0.22,2.1189362853371256
0.22,2.1510818301408974
0.22,2.1519835045570463
0.22,2.1618997513249183
0.22,2.1624714031747527
0.22,2.1668249945212423
0.22,4.116591305502079
0.22,4.116595067110119
0.22,4.117885174387091
0.22,4.117885194416612
0.22,4.119903571667037
0.22,4.120463661785721
0.22,4.122899899723003
0.22,4.122904776121107
0.22,4.1250338449990664
0.22,4.125033852859337
0.22,4.134785296955928
0.22,4.317185210969459
0.22,4.3556805397102325
0.22,4.355680549056871
0.22,4.3565164869857735
0.22,4.356516489190848
0.22,4.358353282115097
0.22,4.358730664374781
0.22,4.362443520320985
0.22,4.3624444209224436
0.22,4.368748187238818
0.22,4.368748187339446
0.22,4.384505755274382
0.22,4.410393010815557
0.22,4.410393010993327
0.22,4.43719503664024
0.22,4.437195038871642
0.22,4.468168549106025
0.22,4.479760190895026
0.22,4.518199667976782
0.22,4.518199667992386
0.22,4.566985194976646
0.22,4.5669853729867205
0.22,4.618706086467618
0.22,4.618740153369957
0.22,4.667727674484063
0.22,4.66772767448409
0.22,4.704185525678838
0.22,4.7041868732445025
0.22,4.828734481066719
0.22,4.828735201981095
0.22,4.855510759111069
0.22,4.855510759111251
0.22,4.885429267743147
0.22,4.885765397734798
0.22,4.910255048755801
0.22,4.9102550548565205
0.22,4.925777693378612
0.22,4.925777693433925
0.22,4.931076115172003
0.26,-1.6508918041398173
0.26,-1.6508917970507264
0.26,-1.6426450580423504
0.26,-1.6426448914798482
0.26,-1.629556306729536
0.26,-1.629550420106712
0.26,-1.6116895378741274
0.26,-1.6115341928053815
0.26,-1.5946283276200601
0.26,-1.591082166594341
0.26,-1.5718726448127984
0.26,-1.5632473763237795
0.26,-1.5572395503525218
0.26,-1.2542600586396018
0.26,-1.2303688015122956
0.26,-1.2093141526184277
0.26,-1.2035283887056054
0.26,-1.1814980501955694
0.26,-1.1599969021950063
0.26,-1.15461583048161
0.26,-1.1263224087982422
0.26,-1.1239710734720731
0.26,-1.0722488098640657
0.26,-1.0715925859027817
0.26,-0.954690712634701
0.26,-0.9545166886451325
0.26,-0.7475298309504647
0.26,-0.7438663468792558
0.26,-0.7180921420695252
0.26,-0.7044418957559133
0.26,-0.6865346376146478
0.26,-0.6690981977213014
0.26,-0.6520930933700592
0.26,-0.6366075267918077
0.26,-0.6234773130268421
0.26,-0.6137116634181915
0.26,-0.6074895231414821
0.26,-0.5609981059136271
0.26,-0.5608054045550507
0.26,-0.48653432753298465
0.26,-0.48652982035253056
0.26,-0.46509641801728135
0.26,-0.4650852848605355
0.26,-0.4389626881783119
0.26,-0.43894370066779637
0.26,-0.41316305622627464
0.26,-0.4121916338556633
0.26,-0.40051769224325173
0.26,-0.38881940339979615
0.26,-0.3103315789070391
0.26,1.0172312338104539
0.26,1.046075137377079
0.26,1.052958178592777
0.26,1.0544395367072088
0.26,1.0836644886127467
0.26,1.0938378228002645
0.26,1.1030021711717393
0.26,1.1098081092123369
0.26,1.1202190103389789
0.26,1.1402318304541403
0.26,1.1412374561735674
0.26,1.1836868490491441
0.26,1.1837585771561698
0.26,1.765014742551436
0.26,1.7681129866490057
0.26,1.7714925003540674
0.26,1.7861150889489876
0.26,1.7866403355242233
0.26,1.8081289739647228
0.26,1.8081701209745558
0.26,1.830212004896892
0.26,1.8302134956759517
0.26,1.8457059860153975
0.26,1.8457071260081457
0.26,1.8788098907662496
0.26,1.8788144304088894
0.26,1.921318936413605
0.26,1.921524387048664
0.26,1.9323171528246745
0.26,1.9489266214662286
0.26,1.950127464754625
0.26,1.9664907738106276
0.26,1.9679151316162684
0.26,1.98496762123945
0.26,1.988815288186846
0.26,2.017994964294316
0.26,2.029598385785475
0.26,2.052791309631607
0.26,2.087855043018105
0.26,2.120356737676316
0.26,2.125173271404003
0.26,2.1265561701576217
0.26,2.142421230082704
0.26,2.1439626511457575
0.26,2.149871586385703
0.26,2.155876494084156
0.26,2.1680976422280795
0.26,2.168803939329907
0.26,2.1707959808069934
0.26,2.182248585149146
0.26,4.1315562546956075
0.26,4.131556254845386
0.26,4.133859869447165
0.26,4.133859872254518
0.26,4.137484564581488
0.26,4.137484623961645
0.26,4.142276898302838
0.26,4.142280052638482
0.26,4.146982439882769
0.26,4.1472112367353136
0.26,4.1483583533508215
0.26,4.150424260859552
0.26,4.15145526440757
0.26,4.375968105463286
0.26,4.375968105546563
0.26,4.377449010350003
0.26,4.377449010404584
0.26,4.380676943984836
0.26,4.380677013069234
0.26,4.38714258058797
0.26,4.3871427319555245
0.26,4.387736162735419
0.26,4.398391571260115
0.26,4.4006018549871335
0.26,4.412543469469381
0.26,4.421647684013173
0.26,4.4425680860042345
0.26,4.478916265578712
0.26,4.479023742744936
0.26,4.521165162171055
0.26,4.521166243926492
0.26,4.568714227715675
0.26,4.5687142323399605
0.26,4.61754125277395
0.26,4.617541252787161
0.26,4.657396127390038
0.26,4.657396127390129
0.26,4.770911517082329
0.26,4.770911517082348
0.26,4.806080358083521
0.26,4.806080358083933
0.26,4.845497560732207
0.26,4.845497560883152
0.26,4.879902509602676
0.26,4.879902533969672
0.26,4.906036051427698
0.26,4.906046020836358
0.26,4.921944686040559
0.26,4.9222755388607755
0.26,4.927811247012821
0.34,-1.6988257696518687
0.34,-1.6928066216464228
0.34,-1.6697312984246395
0.34,-1.6605509432439765
0.34,-1.6443084905822196
0.34,-1.6355849216678018
0.34,-1.6193502846366838
0.34,-1.6177196985175928
0.34,-1.5906183457340175
0.34,-1.5901156045823164
0.34,-1.5658939691600138
0.34,-1.5579661116241121
0.34,-1.538360627705804
0.34,-1.5160307218243996
0.34,-1.4864217972905085
0.34,-1.4465714845243491
0.34,-1.3858747481767815
0.34,-1.051977387736971
0.34,-1.0048990873139858
0.34,-0.9700681292903258
0.34,-0.9438800802135363
0.34,-0.9238975100539644
0.34,-0.9068763519834956
0.34,-0.889707068207505
0.34,-0.8714443476897438
0.34,-0.8530602971641488
0.34,-0.8347329776112326
0.34,-0.8192820291217744
0.34,-0.8030037213113164
0.34,-0.7917587069695315
0.34,-0.7759708400220452
0.34,-0.7619035732364329
0.34,-0.7515995785468904
0.34,-0.7385880100648792
0.34,-0.5025457722723264
0.34,-0.489939045437628
0.34,-0.4780091247573264
0.34,-0.467325935746141
0.34,-0.45801354526339233
0.34,-0.45007253758207105
0.34,-0.4434844965049719
0.34,-0.4377975337933199
0.34,-0.43559880525412364
0.34,-0.42621047326126404
0.34,-0.4258843967751787
0.34,-0.41192726551873665
0.34,-0.41081702542773446
0.34,-0.3944868760327842
0.34,-0.39259141879124404
0.34,-0.31270863766175166
0.34,1.037778584373199
0.34,1.0486084048000586
0.34,1.090730876411749
0.34,1.1039939128680787
0.34,1.1338702609807767
0.34,1.1476362016242465
0.34,1.1590753057760026
0.34,1.1865113003968883
0.34,1.1872225089353337
0.34,1.2222812469681401
0.34,1.2278004315275282
0.34,1.2531169284782169
0.34,1.2739810089172834
0.34,1.3018235663468798
0.34,1.3338863458617936
0.34,1.3715007179795045
0.34,1.416012595990179
0.34,1.7612301368440428
0.34,1.7769250132673395
0.34,1.7896459777955114
0.34,1.802452928237755
0.34,1.8058767423245328
0.34,1.827581470054416
